S No,Symptoms
11040,PUERPERAL THROMBOSIS
11041,puerperium
11042,puerpural sepsis
11043,puffiness around eyes
11044,puffiness around the eyes
11045,puffy face
11046,PUG NOSE
11047,Pulmonary abscess
11048,Pulmonary Alveolar Proteinosis
11049,PULMONARY ARTERIAL HYPERTENSION
11050,pulmonary arteriovenous fistula
11051,pulmonary ascariasis
11052,pulmonary aspiration
11053,pulmonary congestion
11054,Pulmonary disorders
11055,Pulmonary dysfunction
11056,pulmonary edema
11057,Pulmonary Embolism
11058,pulmonary eosinophilia
11059,pulmonary fibrosis
11060,pulmonary haemorrhage
11061,Pulmonary Hemosiderosis
11062,pulmonary hypertension
11063,Pulmonary impairment
11064,pulmonary infarction
11065,PULMONARY INFECTIONS
11066,Pulmonary infiltrates
11067,Pulmonary Inflammation
11068,pulmonary irrititants
11069,pulmonary lesions
11070,Pulmonary oedema
11071,pulmonary toxicity
11072,Pulmonary tuberculosis
11073,pulmonary valvular disease
11074,Pulmonary vascular disorder
11075,PULMONARY VENOOCCULUSIVE DISEASE
11076,pulmonic ejection click
11077,PULMONIC REGURGITATION
11078,PULMONIC STENOSIS
11079,PULMORARY  EMBOLISM
11080,pulp atrophy
11081,Pulp Polyp
11082,pulsatile
11083,PULSATILE LIVER
11084,pulsatile tinnitus
11085,Pulsations of the retinal arterioles may be seen at the disc margin
11086,pulse deficit
11087,pulse pressure is wide
11088,pulse therapy
11089,pulseless disease
11090,Pulseless electrical activity
11091,Pulseless electrical activity (PEA)
11092,Pulsion diverticula
11093,pulsless
11094,pulsus paradoxus
11095,pulsus parvus et tardus
11096,pump failure
11097,punched-out ulcer
11098,punctate basophilia
11099,Punctate epithelial defects
11100,Punctate epithelial erosions
11101,Punctate epithelial erosions in lower half of cornea
11102,Punctate epithelial keratitis
11103,punctate keratitis
11104,Punctate leukoderma
11105,Punctate palmoplantar keratoderma
11106,Punctuate telangiectases
11107,Pupil becomes fixed and dilated and gives a greenish hue
11108,Pupil is blackish in colour
11109,Pupil is fixed and dilated
11110,Pupil is jet black in colour
11111,"Pupil is semidilated, vertically oval and fixed"
11112,Pupil may be mid dilated and poorly reacting
11113,Pupil shows ill-sustained constriction to light
11114,Pupil shows ill-sustained constriction to light. Marcus Gunn pupil which indicates relative afferent pupillary defect (RAPD) is a diagnostic sign
11115,Pupil shows yellow reflex due to purulent exudation in vitreous
11116,PUPILLARY CHANGES
11117,Pupillary constriction
11118,pupillary dilation
11119,pupillary flushing
11120,Pupillary reaction sluggish
11121,pupillary size inceases
11122,PUPILS ARE LARGE
11123,Pupils are somewhat large and a bit sluggishly reacting.
11124,Pupils may be fixed and dilated
11125,pupuric rashes on extremities
11126,Pure red cell aplasia
11127,Purine nucleoside phosphorylase deficiency
11128,purple discolouration of toes
11129,PURPLE SKIN STRIAE
11130,Purplish plaques may occur on the front of the knees and on the back of the heels
11131,purpura
11132,purpura secondary to haematological disorders
11133,"Purpuric lesions, especially on the legs,  and erosive stomatitis may develop"
11134,purpuric rash
11135,purpuric rashes on extremities
11136,Purpuric skin lesions
11137,"purpuric, ulcerating, necrotic, calcified plaques on the lower abdomen or thighs"
11138,purulence
11139,PURULENCE IN NASAL CAVITY
11140,purulent conjunctival discharge
11141,purulent discharge
11142,purulent discharge flows from the lower punctum.
11143,Purulent discharge from eyes
11144,purulent ear discharge
11145,Purulent nasal discharge
11146,purulent/watery or yellow  vaginal discharge
11147,pus ear discharge
11148,pus formation
11149,pus in ear
11150,pus on pressure over the parotid
11151,pus on skin
11152,"pustular or a bullous phase, over a period of 1–3 days"
11153,Pustular psoriasis
11154,pustulation
11155,PUSTULE
11156,pustules
11157,"pustules and nodules in the coarse  hair-bearing areas of the scalp, beard, axilla and pubis may be  characteristic of Candida septicaemia in heroin abusers"
11158,"PUVA lentigines are relatively large, pigmented macules that  develop on the skin of patients receiving photochemotherapy"
11159,Pyelonephritis
11160,pyloric stenosis
11161,pyloroduodenal obstruction
11162,Pyoderma faciale
11163,pyoderma gangrenosum
11164,pyoderma gangrenosum
11165,Pyoderma gangrenosum-like ulcers
11166,Pyoderma vegetans
11167,pyogenic granuloma
11168,Pyogenic granulomas
11169,pyogenic hepatic abscess
11170,PYOGENIC LIVER ABSCESSS
11171,Pyometra
11172,PYONEPHROSIS
11173,Pyosalpinx
11174,pyramidal signs
11175,pyramidal tract signs
11176,pyrexia
11177,Pyridox(am)ine-5'-phosphate oxidase (PNPO) deficie
11178,Pyridox(am)ine-5'-phosphate oxidase (PNPO) deficiency
11179,Pyridoxal dependent epilepsy
11180,PYRIDOXINE
11181,Pyridoxine deficiency
11182,Pyridoxine-dependent epilepsy
11183,pyrifrom aperture stenosis
11184,Pyruvate carboxylase deficiency
11185,Pyruvate dehydrogenase deficiency
11186,Pyruvate dehydrogenase lipoic acid synthetase defi
11187,Pyruvate kinase (PK) deficiency   (hereditary nons
11188,PYRUVATE KINASE DEFICIENCY
11189,pyuria
11190,Q Fever
11191,QRS
11192,QT interval
11193,QT interval prolongation
11194,QT prolongation
11195,QTc prolongation
11196,Quadriparesis
11197,quadriplagia
11198,quadruple or quintuple rhythm is present
11199,Quality of pulses Normal
11200,Quality of pulses-Normal to decreased
11201,"Quality of pulses-Weak, thready, or impalpable"
11202,Quantitative sensory testing
11203,"quiet and conscious, perspires and looks blanched"
11204,quite violent
11205,Rabies
11206,Radial keratoneuritis
11207,Radial scar / complex sclerosing lesion
11208,Radiation damage
11209,RADIATION ENTERITIS
11210,radiation induced laryngitis
11211,Radiation protection
11212,Radiation thyroiditis with soreness
11213,Radiculitis
11214,Radiculoneuropathy
11215,Radiculopathy
11216,RADIOFEMORAL DELAY
11217,Radiosensitising effects
11218,radiotherapy
11219,Radiotherapy-associated skin side effects
11220,RAGE
11221,Railroad tracks appearance lesions (multiple and isolated)
11222,raised and irritable lesion
11223,Raised blood amylase
11224,raised blood concentration
11225,raised blood pressure
11226,Raised CSF pressure
11227,raised diatolic blood pressure
11228,Raised gamma-glutamyl transferase
11229,raised hepatic enzymes
11230,RAISED INTRA ABDOMINAL PRESSURE
11231,raised intracranial pressure
11232,raised intracranial tension
11233,raised intra-ocular pressure
11234,raised itracranial tension & brain swelling
11235,raised jugular venous pressure
11236,Raised liver enzyme concentrations
11237,raised liver enzyme values
11238,raised liver enzymes
11239,Raised serum alanine aminotransferase concentrations
11240,raised serum bilirubin
11241,Raised serum-aminotransferase concentrations
11242,Raised triglycerides concentration
11243,Raised white cell count
11244,rales
11245,Rampant Caries
11246,ramsay hunt syndrome
11247,Ranging
11248,RANULA
11249,RAPD
11250,rapeseed poisoning
11251,rapid and labored respiration
11252,Rapid and weak pulse
11253,rapid blinking of the eyelids
11254,rapid bluish discoloration of the affected digit
11255,rapid breathing
11256,Rapid breathing CNS-Dizziness
11257,rapid growing hard fixed swelling
11258,rapid growing swelling
11259,RAPID ONSET OF SEVERE MALAISE
11260,Rapid or irregular heartbeat (arrhythmias)
11261,"rapid, chaotic involuntary eye movements (opsoclonus)"
11262,"rapidly developing asymptomatic solitary  red or brown lesion, which in some cases has a central raised violaceous papule and is surrounded by a paler brown halo"
11263,rapidly developing varicocele
11264,"Rapidly enlarging bullae with thin, delicate walls and a narrow, red areola contain  clear fl uid at fi rst, which may later become turbid or frankly  purulent"
11265,Rapidly enlarging neck mass
11266,Rapidly Progressive (Crescentic) Glomerulonephriti
11267,Rapture of the ear drum
11268,"rash is most commonly on the feet, and may be accompanied by a generalized urticaria."
11269,Rashes
11270,rashes fever
11271,rashes in throat
11272,rashes on ear
11273,rashes on elbow
11274,rashes on face
11275,rashes on forehead
11276,rashes on full body
11277,rashes on shin
11278,rashes on shoulder
11279,rashes on skin
11280,rashes on thigh
11281,rashes on thumb
11282,rashes on toe
11283,rashes on waist
11284,rashes on wrist
11285,Rasmussen Syndrome
11286,rat bite fever
11287,Rathke’s cyst
11288,Raynaud phenomenon
11289,Raynaud’s syndrome
11290,RE RUPTURE
11291,reaction time
11292,reactions resembling serum sickness
11293,Reactions to arsenic
11294,Reactions to gold
11295,Reactions to lead
11296,Reactions to mercury
11297,Reactions to selenium
11298,reactivated peptic ulcer
11299,Reactivation of latent viral infections
11300,Reactivation of previous corneal infiltrates
11301,reactivation of tuberculosis
11302,Reactive angioendotheliomatosis
11303,reactive arthritis
11304,reactive hypoglycaemia
11305,Rebound congestion
11306,rebound hypoventilation
11307,rebound insomnia
11308,Rebound mucosal congestion
11309,rebound nasal cogestion
11310,Rebound nystagmus
11311,rebound tenderness
11312,Recall reaction
11313,recent head trauma
11314,Recessive X-linked ichthyosis
11315,rectal biopsy
11316,rectal bleeding
11317,rectal irritation
11318,rectal pain
11319,rectal polyp
11320,RECTAL PROLAPSE
11321,rectal tenderness
11322,Recto Vaginal Fistula
11323,rectovaginal fistula
11324,rectus hematoma
11325,RECURRENT ACUTE OTITIS MEDIA
11326,Recurrent Angio-oedema without Weals
11327,Recurrent aphthous stomatitis
11328,Recurrent Apthous Stomatis
11329,RECURRENT ATTACKS OF ACUTE OTITIS MEDIA
11330,Recurrent Chest Discomfort
11331,recurrent chest infection
11332,Recurrent cutaneous necrotizing eosinophilic vasculitis
11333,Recurrent erosions
11334,Recurrent focal palmar peeling
11335,recurrent foul-smelling cheesy discharge or bleeding on trauma.
11336,Recurrent genital herpes
11337,recurrent gross hematuria
11338,RECURRENT HYPOPARATHYROIDISM
11339,Recurrent infection
11340,recurrent joint dislocations
11341,Recurrent melanocytic naevi
11342,recurrent melanoma
11343,RECURRENT MISCARRIAGE
11344,Recurrent nephrotic syndrome
11345,recurrent or progressive malignant gliomas
11346,Recurrent oro-facial and cutaneous herpes
11347,recurrent ovarian cysts
11348,Recurrent Pericoronitis
11349,"Recurrent pruritic papules and urticarial lesions occur at any site, especially the lower limbs, head and neck, with angio-oedema of the face and extremities"
11350,recurrent pruritic urticarial papules and plaques of the face and neck on a ‘rosaceiform or seborrhoeic’ background.
11351,RECURRENT PULMONARY EMBOLI
11352,Recurrent skin infections
11353,Recurrent streptococcal lymphadenitis
11354,recurrent superficial thrombophlebitis
11355,Recurrent toxin-mediated perineal erythema
11356,recurrent unipolar depression
11357,recurrent UTIs
11358,recurrent vomiting
11359,red  strawberry tongue
11360,"Red and hot skin, with dilated veins"
11361,Red bumps on the skin
11362,red burning tongue
11363,Red cell aplasia
11364,red colour urine
11365,red coloured urine specially in night times
11366,red cracked lips
11367,red current jelly stool
11368,Red degeneration of Fibroid
11369,red dilated veins
11370,red eyes
11371,red furuncle-like nodule appears at the  site of inoculation
11372,Red man syndrome
11373,red neck syndrome
11374,Red or brown color urine
11375,Red or cyanotic peripheries
11376,Red or Darkened Skin
11377,red patch or plaque on the mucosal surface
11378,RED PERIORBITAL AND LID EDEMA
11379,red reflex
11380,"red rhomboid  area, devoid of papillae, seen on the dorsum of tongue in  front of foramen caecum"
11381,red spot
11382,red spot in eye
11383,Red swollen epiglottis
11384,red swollen tonsills with yellowish spots
11385,Red to brown discoloration of the skin
11386,red tongue
11387,red urine
11388,"red, swollen and tender"
11389,"Red,thickened lid margins"
11390,REDDENED EDEMATOUS VULVA
11391,reddened sclera
11392,reddish coloration of urine
11393,Reddish discoloration of urine
11394,reddish mass in the vitreous
11395,reddish nodules on posterior pharyngeal wall
11396,reddish or bluish lunula
11397,Reddish purple area seen on the palpebral conjunctiva
11398,Reddish stools
11399,reddish urine or pink staining of diapers by urine or meconium shortly after birth
11400,reddish-brown discoloration of the urine
11401,red-man syndrome
11402,Redness
11403,REDNESS (COLOURED HALOES)
11404,Redness along the path of a superfi cial vein
11405,"Redness and swelling around the wound may  spread rapidly over a wide area and may break down to discharge  greyish yellow, haemorrhagic pus through one or more sinuses"
11406,redness in superior bulbar conjunctiva
11407,Redness in the angles of eyes
11408,redness in throat
11409,REDNESS OF EYE
11410,redness on ear
11411,redness on face
11412,redness on forehead
11413,redness on shin
11414,redness on shoulder
11415,redness on skin
11416,redness on thigh
11417,redness on thumb
11418,redness on toe
11419,redness on waist
11420,redness on wrist
11421,redness onelbow
11422,redness present on auricle
11423,reduce elevations of intracranial pressure
11424,Reduce the pain of hypersensitive teeth
11425,Reduce visual function
11426,Reduced  urinary excretion of calcium
11427,reduced activity of digoxin
11428,reduced antiarrhythmic effect
11429,REDUCED APERTURE
11430,reduced beard growth
11431,Reduced bone density
11432,reduced bowel motility
11433,reduced bronchial secretions
11434,reduced carotid pulse
11435,reduced chest expansion
11436,reduced color vision
11437,Reduced concentration
11438,reduced consciousness
11439,REDUCED CORNEAL REFLEX
11440,Reduced Corneal sensitivity
11441,reduced exercise capacity
11442,reduced extension of elbows
11443,REDUCED EYE BLINK
11444,reduced facial sensations
11445,Reduced female fertility
11446,reduced field of vision
11447,reduced gastrointestinal motility
11448,reduced glucose tolerance
11449,reduced grip strength
11450,Reduced hearing
11451,Reduced in hepatic impairment
11452,Reduced intensity of S1
11453,reduced jvp
11454,reduced lacrimation
11455,reduced lean body mass
11456,reduced lipid lowering activity
11457,reduced lung function
11458,reduced movement at atlantoaxial joint
11459,Reduced or absent ejaculation
11460,reduced or normal
11461,Reduced organ perfusion
11462,Reduced peripheral circulation
11463,Reduced potency
11464,reduced pulse rate
11465,Reduced reflexes
11466,REDUCED RV SIZE
11467,Reduced salivation
11468,reduced subcutaneous fat or muscle mass
11469,Reduced sweating with hyperthermia
11470,reduced total body bone mass
11471,Reduced visual acuity
11472,reduced visual function
11473,Reduced Vocal Resonance
11474,reduced volume of ejaculate
11475,reduces gastrointestinal motility
11476,Reduces plasma-zinc concentrations
11477,reduces serum-calcium concentrations
11478,Reduces the migration of lymphocytes into the CNS
11479,REDUCIBLE SWELLING IN NECK WHICH INCREASES ON COUGHING
11480,Reducing the number of lymphocytes into peripheral blood
11481,Reduction in appetite
11482,reduction in bone mineral density (BMD)
11483,reduction in breast size
11484,reduction in chest excursion and expansion
11485,reduction in gastrointestinal tone
11486,Reduction in haematocrit
11487,Reduction in hemoglobin
11488,reduction in platelet counts
11489,reduction in various blood cell counts
11490,redundant mucosa over aryepiglottic folds
11491,"red-violaceous, red-brown  or yellowish papules, plaques or nodule"
11492,Refactory or replased folicular lymphoma
11493,Referred otalgia
11494,referred pain in the ear
11495,referred pain to the interscapular region
11496,Reflex bradycardia
11497,reflex tachycardia
11498,reflexes in the lower limbs are  exaggerated
11499,REFRACTIVE ERROR
11500,refractory disease
11501,Refractory invasive systemic fungal infection
11502,Refractory neuropathic pain
11503,Refractory oedema
11504,Refractory status epilepticus
11505,refractory supraventricular tachycardia
11506,refusal to eat
11507,refusal to feed
11508,refuse to suck
11509,Regional adenitis
11510,regional adenopathy
11511,Regional lymph nodes are enlarge
11512,regional lymphadenopathy
11513,"regional lymphatics become swollen and tender, and dull-red  nodules along their course break down to form abscesses and  sinuses"
11514,Regional nerve block
11515,Regression
11516,regression of language and motor milestones
11517,Regular Astigmatism
11518,"Regular waves of erythema spread over the body to produce a series of concentric, figurate bands in a pattern resembling the grain of wood."
11519,Regurgitant valvular disease
11520,regurgitation
11521,Regurgitation of gastric contents
11522,reinke's oedema
11523,Reis-Bucklers Corneal Dystrophy
11524,Reiter’s Syndrome
11525,Reiter's syndrome
11526,Relapse of drug abuse or overdose
11527,relapse or disease recurrence
11528,relapsed chronic lymphocytic leukaemia
11529,relapsed follicular beta cell non-Hodgkin's lymphoma
11530,relapsing fever
11531,Relapsing fever dermatology
11532,Relapsing form of multiple sclerosis
11533,RELAPSING POLYCHONDRITIS
11534,relative central or centrocaecal scotoma
11535,Relative positive scotoma
11536,Relief of  vesicourethral spasms resulting from instrumentation or surgery
11537,Relief of moderate to severe pain
11538,relieved by sitting up
11539,RELUCTANCE OR APPREHENSION OF NURSING
11540,Removal of protein deposits from the surface of soft contact lenses
11541,renal  damage
11542,Renal abnormalities
11543,Renal angle Tenderness
11544,RENAL ARTERY STENOSIS
11545,renal calcium oxalate calculi
11546,RENAL CALCULI
11547,RENAL CARBUNCLE
11548,RENAL CELL Carcinoma
11549,Renal colic
11550,renal compilcations
11551,Renal complication
11552,Renal damage
11553,renal disease
11554,Renal disorders
11555,Renal disturbances
11556,Renal dysfunction
11557,RENAL ECTOPIA
11558,renal failure
11559,renal failure
11560,Renal graft loss
11561,renal impairment
11562,renal infraction
11563,renal insufficiency
11564,Renal irritation
11565,RENAL ISCHEMIA
11566,renal lesions
11567,Renal medullary carcinoma
11568,Renal necrosis
11569,renal osteodystrophy
11570,"renal pain is located over renal angle, hypochondrium  and lumbar region. Often severe radiating to groin and testis  in male, with vomiting due to pylorospasm. Pain worsens  on movements"
11571,renal papillary necrosis
11572,Renal proximal tubular necrosis
11573,renal pseudoporphyria
11574,Renal Stone
11575,renal toxicity
11576,Renal transplant
11577,RENAL TUBERCULOSIS
11578,Renal tubular acidosis
11579,Renal tubular disorders
11580,Renal tubular dysfunction
11581,Renal tubular necrosis
11582,renal tubulopathy
11583,renal vasculitis
11584,Renal Vein Thrombosis
11585,Renal wasting syndrome
11586,renovascular disease or suspected renovascular disease
11587,Renovascular dysfunction
11588,rentlicular tailey cardio
11589,Repeated vomiting (sometimes haematemesis)
11590,REPERFUSION INJURY
11591,repetitive hand wringing movements and a loss of purposeful and spontaneous use of the hands
11592,Repetitive Movements
11593,reports of non-immunological contact urticaria
11594,reports of Stevens-Johnson syndrome
11595,resemble the cocks comb type of conjunctival tubercular lesion
11596,residual daytime sedation
11597,Residual disability
11598,residual psychomotor impairment
11599,resistant hypertension
11600,resistant oedema
11601,Resistant ovary
11602,resp exam- intercostal subcostal retraction
11603,Respiration
11604,respiration failure
11605,Respiration may be depressed
11606,Respiration may be slowed
11607,respiration shallow
11608,respiratory acidosis
11609,respiratory alkalosis
11610,Respiratory arrest
11611,respiratory depression
11612,respiratory difficulties
11613,respiratory disorders
11614,respiratory distress
11615,Respiratory Distress Syndrome
11616,Respiratory disturbance
11617,respiratory failure
11618,Respiratory Function Disorder
11619,respiratory impairment
11620,Respiratory infections
11621,Respiratory insufficiency
11622,respiratory paralysis
11623,respiratory paralysis
11624,respiratory problems
11625,respiratory stridor
11626,respiratory symptoms
11627,Respiratory syncytial virus
11628,respiratory system- decreased breath sounds
11629,Respiratory system tachypnea
11630,Respiratory tract infection
11631,respiratory-tract disorders
11632,respiratory-tract infections
11633,rest pain
11634,Rest pain at night
11635,Resting heart rate below 60 beats/minute
11636,Resting heart rate falls below 50 beats/minute
11637,Restless legs syndrome
11638,Restless legs syndrome/burning feet syndrome(14691
11639,Restlessness
11640,Restore fertility
11641,restore function in central venous lines
11642,restricted joint movement
11643,Restricted mobility
11644,restricted mouth openiNg
11645,Restricted Ocular movements
11646,Restriction of ocular movement
11647,Restriction of ocular movements
11648,restrictive cardiomyopathy
11649,Restrictive dermopathy
11650,Restrictive dermopathy
11651,Retained Deciduous Teeth
11652,Retard growth in very young children
11653,retching
11654,RETENTION CYST OF A GLAND OF MONTGOMERY
11655,RETENTION OF URINE
11656,retention of wax and debris
11657,Reticular erythematous mucinosis
11658,Reticular veins
11659,Reticulocytopenia
11660,Reticulocytosis
11661,Reticulohistiocytoma
11662,Reticulum cell sarcoma
11663,Retiform
11664,Retiform haemangioendothelioma
11665,Retiform purpura
11666,Retina becomes milky white
11667,Retina develops pigmentary degeneration
11668,"Retina shows midperipheral dot and blot haemorrhages, microaneurysms and cotton wool spots."
11669,retinal abnormality
11670,Retinal and vitreous haemorrhages
11671,Retinal arterial narrowing
11672,Retinal arterioles are also pale
11673,Retinal arterioles are attenuated (narrowed) and may become thread-like in late stages
11674,RETINAL ARTERY OCCLUSIONS
11675,retinal atrophy
11676,retinal breaks
11677,Retinal breaks are usually absent and configuration of the detached area is concave.
11678,"Retinal breaks may be round, horse-shoe shaped, slit-like or in the form of a large anterior dialysis"
11679,retinal changes
11680,Retinal complications
11681,Retinal damage
11682,retinal depigmentation
11683,RETINAL DETACHMENT
11684,Retinal edema and hard exudates
11685,RETINAL EDEMA AND SOFT EXUDATES
11686,retinal haemorrhage
11687,retinal haemorrhages
11688,retinal haemorrhages and loss of fundal details (pizza pie appearance)
11689,"Retinal haemorrhages, superficial flame shaped"
11690,retinal infarcts
11691,retinal ischemia
11692,Retinal mobility is severely reduced and shifting fluid is absent.
11693,retinal oedema
11694,Retinal pigment epithelial detachament
11695,Retinal pigmentary changes
11696,Retinal precipitation
11697,retinal tear
11698,retinal thickening
11699,retinal thicknening
11700,Retinal thrombosis
11701,Retinal toxicity
11702,Retinal vein occlusion
11703,RETINAL VEIN OCCLUSIONS
11704,Retinal vein thrombosis
11705,Retinal veins are congested and tortuous
11706,Retinal veins are tortuous and dilated
11707,retinitis
11708,retinitis in the form of white necrotic infiltrates
11709,RETINITIS PIGMENTOSA
11710,RETINOBLASTOMA
11711,RETINOBLASTOMA OPHTHAL
11712,retinoic acid syndrome
11713,retinoids
11714,RETINOPATHIES
11715,retinopathy
11716,Retinopathy of Prematurity
11717,Retracted Tympanic Membrane
11718,retractile scarring of the fascia
11719,Retraction of the upper lids (Dalrymple’s sign)
11720,RETRO ORBITAL PAIN
11721,Retrobulbar block
11722,retrognathia and down slanting palpebral fissures
11723,Retrograde amnesia
11724,RETROGRADE MENSTRUATION
11725,retrograde spill of menstruation
11726,Retrogression of breast changes
11727,Retrogression of the positive breast changes
11728,retro-orbital pain
11729,retroperitoneal fibrosis
11730,retropharyngeal abscess
11731,retropharyngeal ganglia tuberculosis
11732,retrosternal discomfort
11733,RETROSTERNAL GOITRE
11734,retrosternal pain
11735,RETROVERSION OF UTERUS
11736,RETROVERTED GRAVID UTERUS
11737,RETROVERTED UTERUS
11738,RETT SYNDROME
11739,"reveals retinal oedema, marked pallor of the disc"
11740,reversal of day-night sleeping
11741,Reversal of neuromuscular blockage action
11742,Reversal of soft tissue anaesthesia
11743,reverse neuromuscular blockade
11744,Reverse opioid-induced respiratory depression
11745,Reversible acute renal failure
11746,Reversible agranulocytosis
11747,reversible airway obstruction
11748,reversible alopecia
11749,reversible arthralgia
11750,reversible arthropathy
11751,Reversible cognitive impairment
11752,Reversible confusional states
11753,Reversible dementia
11754,"Reversible discoloration of the tongue, teeth, and silicate or composite dental restoration"
11755,Reversible encephalopathy
11756,Reversible Fanconi-type syndrome
11757,reversible gynaecomastia
11758,reversible hearing loss
11759,reversible hepatotoxicity
11760,reversible hypertrophy of papillae of tongue
11761,Reversible idiopathic thrombocytopenia purpura
11762,Reversible increases in liver enzymes
11763,Reversible increases in serum-aminotransferase concentrations
11764,Reversible myelosuppression
11765,Reversible nephrotoxicity
11766,Reversible neutropenia
11767,Reversible ovarian enlargement
11768,Reversible renal failure
11769,Reversible renal tubular defect
11770,Reversible yellow discoloration of the conjunctiva
11771,Reversible yellow discoloration of the skin
11772,REYE SYNDROME
11773,Rhabdomyolysis
11774,Rhabdomyoma
11775,"Rhabdomyoma - adult type, fetal type, genital type"
11776,rhabdomyosarcoma
11777,rhabdomyosarcoma
11778,RHEGMATOGENOUS OR PRIMARY RETINAL DETACHMENT
11779,rhegmatogenous retinal detachment
11780,rheumatic disorder
11781,rheumatic fever
11782,RHEUMATIC HEART DISEASE
11783,Rheumatoid arthiritis
11784,rheumatoid arthritis
11785,rheumatoid nodules
11786,"Rheumatoid nodules on the extensor surfaces of the elbows, spine, and over the Achilles tendons."
11787,rhinitis
11788,rhinitis medicamentosa
11789,RHINOLITH
11790,RHINOPHYMA
11791,RHINOSCLEROMA
11792,RHINOSPORIDIOSIS
11793,Rhinosporidiosis dermatology
11794,Rhizomelic chondrodysplasia punctata
11795,rhonchi
11796,rhythmic movements
11797,rib cage rigidity
11798,rib fracture
11799,rib fracture
11800,Ribbon-like wide vessels are seen coursing over the tumour surface in the area
11801,RIBOFLAVIN
11802,Ribose-5-phosphate isomerase deficiency
11803,Ribose-5-phosphate isomerase deficiency
11804,ribs pain
11805,rice water stools
11806,RICKETIC ROSERY
11807,RICKETS
11808,ricketticosis
11809,rickettsial diseases
11810,Rickettsial Infection
11811,Rickettsialpox dermatology
11812,"Riddoch phenomenon, i.e., ability to perceive kinetic but not static targets."
11813,Ridge with extraretinal fibrovascular proliferation into the vitreous
11814,rift valley fever
11815,right eye
11816,Right Lower Lobe Pneumonia
11817,Right sided pleural effusion may be evident
11818,Right upper quadrant pain
11819,right Ventricular enlargement
11820,Right ventricular hypertrophy
11821,RIGHT VENTRICULAR INFARCTION
11822,Right-handed students may have predominantly left-handed  facial acne from pressure of the left hand.
11823,right-sided fourth heart sound
11824,Right-to-left intracardiac shunt
11825,rigid clubfoot
11826,rigidity
11827,rigor
11828,Ring abscess
11829,ring formation
11830,Ring infiltrate
11831,Ring of stromal infiltrate (Wessley immune ring)
11832,ring reflex
11833,ring shaped  or annular lesions
11834,ring ulcer in conjunctiva
11835,ring worm
11836,Ringing in ear
11837,ring-like opacity (Weiss ring or Fuchs ring)
11838,Rings or stellate-shaped snowflake stromal opacities
11839,ripping may radiate to back
11840,"rippled keratotic ridges, in particular in the axilla, the elbows and the flexural aspects of the  knees"
11841,Rise in intra-gastric pressure
11842,Rise in plasma transaminases
11843,Rise in prolactin concentration
11844,Rise in serum aminotransferase values
11845,rises in plasma-triglyceride
11846,Risk of cardiac arrhythmia
11847,risk of clot formation after cardiac surgery
11848,risk of sensitisation
11849,Risk of transplacental haemorrhage
11850,road traffic accident(RTA)
11851,Rocky Mountain spotted fever
11852,Rocky Mountain spotted fever
11853,rod-cone dystrophies
11854,ROLANDO'S FRACTURE
11855,Role of Extracellular Matrix Remodeling in joint pain
11856,roomy nasal cavity
11857,Root Stumps
11858,rosacea
11859,ROSACEA KERATITIS
11860,rose spots
11861,Roseola infantum
11862,Rose-red papules on the cheeks
11863,"Rose-red papules on the cheeks  rapidly coalesce to form a hot turgid erythema, almost erysipeloid, giving a ‘slapped cheek’ appearance"
11864,rosette forming glioneuronal tumour of the fourth 
11865,Ross River virus
11866,Rota virus
11867,rotary nystagmus
11868,ROTAVIRUS
11869,ROTH SPOTS
11870,Roth spots(haemorrhages with white center and platelet-fibrin emboli constitute the white centre)
11871,Roth’s spots
11872,Rothmund–Thomson syndrome
11873,Rotor Syndrome
11874,Rough Skin
11875,Round cell liposarcoma
11876,round face
11877,round head
11878,"round or oval erythematous and oedematous plaque which evolves to become dusky,  violaceous and occasionally vesicular or bullous"
11879,round reddish spot surrounded by a grey halo [cuff of subretinal fluid (SRF)
11880,Round ring-shaped central corneal stromal opacities
11881,"round, raised, red,  hot and tender lesion, 2–5 cm or more in diameter cover the forearm"
11882,Routine Immunization
11883,Rovsing’s sign 5%
11884,rubefacient
11885,rubella
11886,Rubella dermatology
11887,rubeosis iridis
11888,RUBINSTEIN TYABI SYNDROME
11889,rubor
11890,"rugose keratoderma develops during childhood, gradually extending to the confluent honeycomb pattern."
11891,Rumination Disorder
11892,running nose
11893,running ribs
11894,RUPTURE OF CYST
11895,"Rupture of splenic artery may be intraperitoneal or into the  stomach, colon and intestine"
11896,Rupture of the extensor pollicis longus tendon
11897,Ruptured Baker’s cyst
11898,ruptured cysts giving the appearance of discharge “white currant in red currant juice
11899,ruptured sinus of Valsalva fistulae into the right side
11900,RURAL
11901,rusty deposits are arranged radially in a ring
11902,RV PALPABLE HEAVE
11903,"s most commonly affected are the  extrem ities, with the proximal and extensor aspects somewhat  favoured. The trunk is involved more often than the head and  neck"
11904,s plaque-like lesions with small tufts of hairs.
11905,S PNEUMONIAE
11906,s swellings 1–3 cm in size on the lower third of the inner labium majus.
11907,"s they raise  the epidermis to produce yellowish, white or skin-coloured, firm,  spherical, smooth, elastic, dome-shaped protuberances"
11908,"s. At the age of  2–6 months, usually large thick dark brown to yellow-brown  hyperkeratoses develop covering the trunk, the extremities and  the neck"
11909,S.L.E
11910,s1is accentuated
11911,S2 CLOSELY SPLIT
11912,S2 single and loud
11913,s2narrow split
